,seed,acc_train_after,auc_train_after,acc_test_after,auc_test_after
0,0,0.16698436904308045,0.5525972495749802,0.18962722852512157,0.5500870406189555
0,1,0.18084903864458404,0.5710917188949922,0.16393442622950818,0.5578996433203632
0,2,0.16631819045808782,0.5567908331964551,0.21428571428571427,0.5485424694253644
0,3,0.16758398178022396,0.5468057857153841,0.1734006734006734,0.5283840388007055
0,4,0.16827743035815804,0.5472769986954628,0.16382252559726962,0.5568392626511682
0,5,0.1759136527172884,0.5590998879176385,0.140893470790378,0.5600236617813941
0,6,0.16676120249574589,0.5494189969241354,0.18118466898954705,0.5486305945223782
0,7,0.1746031746031746,0.556270148049137,0.14711033274956217,0.5535102506933492
0,8,0.15251038127595318,0.5411279446213928,0.12212389380530973,0.5279266693277072
0,9,0.166383701188455,0.5426155817982939,0.15658362989323843,0.5492450638792102
