,0
acc_test_after,0.18962722852512157
acc_train_after,0.6303181295515523
auc_test_after,0.6334967320261438
auc_train_after,0.8347734114775957
acc_test_after,0.18962722852512157
acc_train_after,0.6303181295515523
auc_test_after,0.6334967320261438
auc_train_after,0.8347734114775957
acc_test_after,0.16721311475409836
acc_train_after,0.6444019138755981
auc_test_after,0.9153719008264463
auc_train_after,0.8536256022282445
acc_test_after,0.1744186046511628
acc_train_after,0.648250812464156
auc_test_after,0.38040201005025126
auc_train_after,0.7602918370224164
acc_test_after,0.15488215488215487
acc_train_after,0.6281733155182286
auc_test_after,0.37623089983022073
auc_train_after,0.8491281825092203
