,0
acc_test_after,0.1426256077795786
acc_train_after,0.15389037945573017
auc_test_after,0.3908496732026143
auc_train_after,0.36578534512407135
seed,0.0
acc_test_after,0.14754098360655737
acc_train_after,0.15923444976076556
auc_test_after,0.32479338842975203
auc_train_after,0.3660418548629931
seed,1.0
acc_test_after,0.1760797342192691
acc_train_after,0.15331676543681896
auc_test_after,0.3157453936348409
auc_train_after,0.3593777903096951
seed,2.0
acc_test_after,0.17003367003367004
acc_train_after,0.15212826875357893
auc_test_after,0.300509337860781
auc_train_after,0.3488208410364212
seed,3.0
acc_test_after,0.15017064846416384
acc_train_after,0.15372878123211903
auc_test_after,0.3943201376936316
auc_train_after,0.35270205643232905
seed,4.0
acc_test_after,0.1426256077795786
acc_train_after,0.15389037945573017
auc_test_after,0.3908496732026143
auc_train_after,0.36578534512407135
seed,0.0
acc_test_after,0.14754098360655737
acc_train_after,0.15923444976076556
auc_test_after,0.32479338842975203
auc_train_after,0.3660418548629931
seed,1.0
acc_test_after,0.1760797342192691
acc_train_after,0.15331676543681896
auc_test_after,0.3157453936348409
auc_train_after,0.3593777903096951
seed,2.0
acc_test_after,0.17003367003367004
acc_train_after,0.15212826875357893
auc_test_after,0.300509337860781
auc_train_after,0.3488208410364212
seed,3.0
acc_test_after,0.15017064846416384
acc_train_after,0.15372878123211903
auc_test_after,0.3943201376936316
auc_train_after,0.35270205643232905
seed,4.0
acc_test_after,0.12886597938144329
acc_train_after,0.16031261913839115
auc_test_after,0.4509532062391682
auc_train_after,0.35291581734261146
seed,5.0
acc_test_after,0.17073170731707318
acc_train_after,0.1493161094224924
auc_test_after,0.2894736842105263
auc_train_after,0.36141963487807993
seed,6.0
acc_test_after,0.1330998248686515
acc_train_after,0.15777482437820392
auc_test_after,0.4142416225749559
auc_train_after,0.3445181134654819
seed,7.0
acc_test_after,0.14690265486725665
acc_train_after,0.15569884316328467
auc_test_after,0.32442067736185387
auc_train_after,0.354539330547742
seed,8.0
acc_test_after,0.15658362989323843
acc_train_after,0.1521986353297953
auc_test_after,0.4413082437275986
auc_train_after,0.33949724329930675
seed,9.0
acc_test_after,0.12886597938144329
acc_train_after,0.16031261913839115
auc_test_after,0.4509532062391682
auc_train_after,0.35291581734261146
seed,5.0
acc_test_after,0.17073170731707318
acc_train_after,0.1493161094224924
auc_test_after,0.2894736842105263
auc_train_after,0.36141963487807993
seed,6.0
acc_test_after,0.1330998248686515
acc_train_after,0.15777482437820392
auc_test_after,0.4142416225749559
auc_train_after,0.3445181134654819
seed,7.0
acc_test_after,0.14690265486725665
acc_train_after,0.15569884316328467
auc_test_after,0.32442067736185387
auc_train_after,0.354539330547742
seed,8.0
acc_test_after,0.15658362989323843
acc_train_after,0.1521986353297953
auc_test_after,0.4413082437275986
auc_train_after,0.33949724329930675
seed,9.0
