,0
acc_test_after,0.1685575364667747
acc_train_after,0.9704867765427366
auc_test_after,0.47467320261437906
auc_train_after,1.0
seed,0.0
acc_test_after,0.18524590163934426
acc_train_after,0.9686124401913876
auc_test_after,0.4006611570247934
auc_train_after,1.0
seed,1.0
acc_test_after,0.1611295681063123
acc_train_after,0.9720894666411776
auc_test_after,0.5
auc_train_after,0.9999999999999999
seed,2.0
acc_test_after,0.16498316498316498
acc_train_after,0.9694598205764459
auc_test_after,0.3385398981324278
auc_train_after,1.0
seed,3.0
acc_test_after,0.17747440273037543
acc_train_after,0.9702460423421705
auc_test_after,0.5101549053356282
auc_train_after,1.0
seed,4.0
acc_test_after,0.12886597938144329
acc_train_after,0.9689287075867328
auc_test_after,0.8291161178509532
auc_train_after,1.0
seed,5.0
acc_test_after,0.18641114982578397
acc_train_after,0.9739741641337386
auc_test_after,0.249780701754386
auc_train_after,1.0
seed,6.0
acc_test_after,0.17513134851138354
acc_train_after,0.9732295424340232
auc_test_after,0.3236331569664903
auc_train_after,1.0
seed,7.0
acc_test_after,0.16460176991150444
acc_train_after,0.7538403186042101
auc_test_after,0.552139037433155
auc_train_after,0.9236147144768825
seed,8.0
acc_test_after,0.1797153024911032
acc_train_after,0.9696739954510993
auc_test_after,0.3799283154121864
auc_train_after,1.0
seed,9.0
