,0
alpha,1.0
seed,0.0
test_acc,0.16369529983792544
test_auc,0.8093137254901961
test_f1,0.14057418281412448
test_precision,0.15354346814500192
test_recall,0.16369529983792544
train_acc,0.5019062142584827
train_auc,0.8741172887233195
train_f1,0.5014877500908861
train_precision,0.5544391284839668
train_recall,0.5019062142584827
alpha,1.0
seed,1.0
test_acc,0.19344262295081968
test_auc,0.2983471074380165
test_f1,0.1610233086735981
test_precision,0.15480082546001442
test_recall,0.19344262295081968
train_acc,0.5128498001142204
train_auc,0.8194902008498212
train_f1,0.5175218563508754
train_precision,0.5744151584864906
train_recall,0.5128498001142204
