,seed,acc_train_after,auc_train_after,acc_test_after,auc_test_after
0,0,0.9266107510484178,0.8978909520683495,0.1685575364667747,0.4720406189555125
0,1,0.9185227489053874,0.8789133899106168,0.1885245901639344,0.5189384727626459
0,2,0.929861243109675,0.8982751243212618,0.1611295681063123,0.5757769308091807
0,3,0.9180110077813627,0.887115918938004,0.16161616161616163,0.5093915343915343
0,4,0.9293158991851431,0.906946337843439,0.17918088737201365,0.5203357989902548
0,5,0.9187653853436849,0.8882038435763345,0.13402061855670103,0.5266557210807157
0,6,0.9272074116089998,0.8974193953791954,0.17770034843205576,0.5517034068136273
0,7,0.9302721088435374,0.8978758406101418,0.17513134851138354,0.5993800641687965
0,8,0.60079275198188,0.7293939447128963,0.17345132743362832,0.4978759194845185
0,9,0.9207696661007357,0.9034329845025371,0.19395017793594305,0.5313443670150988
